item_id,genre,blind,cue_stratum,dominant,n_votes,agreement,subordinate_majority,tie
everyday-000,everyday,1,,SYN,9,1.0,0,0
everyday-001,everyday,1,,SYN,9,1.0,0,0
everyday-002,everyday,1,,SYN,9,1.0,0,0
everyday-003,everyday,1,,SYN,9,1.0,0,0
everyday-004,everyday,1,,SYN,9,0.889,0,0
everyday-005,everyday,1,,SYN,9,1.0,0,0
everyday-006,everyday,1,,SYN,9,0.556,0,0
everyday-007,everyday,1,,SYN,9,1.0,0,0
everyday-008,everyday,1,,SYN,9,1.0,0,0
everyday-009,everyday,1,,PAR,9,0.889,0,0
everyday-010,everyday,1,,SYN,9,0.667,0,0
everyday-011,everyday,1,,SYN,9,1.0,0,0
everyday-012,everyday,1,,SYN,9,1.0,0,0
everyday-013,everyday,1,,SYN,9,1.0,0,0
everyday-014,everyday,1,,SYN,9,0.778,0,0
everyday-015,everyday,1,,SYN,9,0.889,0,0
everyday-016,everyday,1,,SYN,9,1.0,0,0
everyday-017,everyday,1,,SYN,9,1.0,0,0
everyday-018,everyday,1,,PAR,9,1.0,0,0
everyday-019,everyday,1,,SYN,9,1.0,0,0
everyday-020,everyday,1,,SYN,9,1.0,0,0
everyday-021,everyday,1,,SYN,9,1.0,0,0
everyday-022,everyday,1,,SYN,9,1.0,0,0
everyday-023,everyday,1,,SYN,9,1.0,0,0
everyday-024,everyday,1,,SYN,9,1.0,0,0
everyday-025,everyday,1,,PAR,9,1.0,1,0
everyday-026,everyday,1,,SYN,9,1.0,0,0
everyday-027,everyday,1,,SYN,9,1.0,0,0
everyday-028,everyday,1,,SYN,9,1.0,0,0
everyday-029,everyday,1,,SYN,9,1.0,0,0
everyday-030,everyday,1,,PAR,9,0.556,0,0
everyday-031,everyday,1,,SYN,9,1.0,0,0
everyday-032,everyday,1,,SYN,9,1.0,0,0
everyday-033,everyday,1,,SYN,9,1.0,0,0
everyday-034,everyday,1,,SYN,9,0.667,1,0
everyday-035,everyday,1,,SYN,9,1.0,0,0
everyday-036,everyday,1,,SYN,9,1.0,0,0
everyday-037,everyday,1,,SYN,9,0.778,0,0
everyday-038,everyday,1,,SYN,9,1.0,0,0
everyday-039,everyday,1,,SYN,9,1.0,0,0
everyday-040,everyday,1,,SYN,9,1.0,0,0
everyday-041,everyday,1,,SYN,9,1.0,0,0
everyday-042,everyday,1,,SYN,9,1.0,0,0
everyday-043,everyday,1,,SYN,9,1.0,0,0
everyday-044,everyday,1,,SYN,9,1.0,0,0
everyday-045,everyday,1,,SYN,9,1.0,0,0
everyday-046,everyday,1,,SYN,9,1.0,0,0
everyday-047,everyday,1,,SYN,9,1.0,0,0
everyday-048,everyday,1,,SYN,9,1.0,0,0
everyday-049,everyday,1,,SYN,9,1.0,0,0
everyday-050,everyday,1,,SYN,9,1.0,0,0
everyday-051,everyday,1,,PAR,9,0.667,0,0
everyday-052,everyday,1,,SYN,9,1.0,0,0
everyday-053,everyday,1,,SYN,9,1.0,0,0
everyday-054,everyday,1,,SYN,9,1.0,0,0
everyday-055,everyday,1,,SYN,9,1.0,0,0
everyday-056,everyday,1,,SYN,9,1.0,0,0
everyday-057,everyday,1,,SYN,9,1.0,0,0
everyday-058,everyday,1,,SYN,9,1.0,0,0
everyday-059,everyday,1,,SYN,9,1.0,0,0
everyday-060,everyday,1,,SYN,9,1.0,0,0
everyday-061,everyday,1,,SYN,9,1.0,0,0
everyday-062,everyday,1,,SYN,9,1.0,0,0
everyday-063,everyday,1,,SYN,9,1.0,0,0
everyday-064,everyday,1,,SYN,9,1.0,0,0
everyday-065,everyday,1,,SYN,9,1.0,0,0
everyday-066,everyday,1,,SYN,9,1.0,0,0
everyday-067,everyday,1,,SYN,9,1.0,0,0
everyday-068,everyday,1,,SYN,9,1.0,0,0
everyday-069,everyday,1,,SYN,9,1.0,0,0
everyday-070,everyday,1,,SYN,9,0.778,0,0
everyday-071,everyday,1,,SYN,9,1.0,0,0
everyday-072,everyday,1,,SYN,9,1.0,0,0
everyday-073,everyday,1,,SYN,9,1.0,0,0
everyday-074,everyday,1,,SYN,9,0.889,0,0
everyday-075,everyday,1,,SYN,9,1.0,0,0
everyday-076,everyday,1,,SYN,9,0.667,1,0
everyday-077,everyday,1,,SYN,9,1.0,0,0
everyday-078,everyday,1,,SYN,9,1.0,0,0
everyday-079,everyday,1,,SYN,9,1.0,0,0
everyday-080,everyday,1,,ANT,9,1.0,1,0
everyday-081,everyday,1,,SYN,9,1.0,0,0
everyday-082,everyday,1,,SYN,9,1.0,0,0
everyday-083,everyday,1,,SYN,9,0.778,0,0
everyday-084,everyday,1,,SYN,9,1.0,0,0
everyday-085,everyday,1,,SYN,9,1.0,0,0
everyday-086,everyday,1,,SYN,9,1.0,0,0
everyday-087,everyday,1,,SYN,9,1.0,0,0
everyday-088,everyday,1,,SYN,9,1.0,0,0
everyday-089,everyday,1,,SYN,9,1.0,0,0
everyday-090,everyday,1,,SYN,9,0.778,0,0
everyday-091,everyday,1,,SYN,9,1.0,0,0
everyday-092,everyday,1,,SYN,9,1.0,0,0
everyday-093,everyday,1,,SYN,9,1.0,0,0
everyday-094,everyday,1,,SYN,9,1.0,1,0
everyday-095,everyday,1,,SYN,9,1.0,0,0
everyday-096,everyday,1,,SYN,9,1.0,0,0
everyday-097,everyday,1,,SYN,9,1.0,0,0
everyday-098,everyday,1,,SYN,9,0.556,1,0
legal-000,legal,1,,SYN,9,1.0,0,0
legal-001,legal,1,,SYN,9,1.0,0,0
legal-002,legal,1,,SYN,9,1.0,0,0
legal-003,legal,1,,SYN,9,0.889,0,0
legal-004,legal,1,,SYN,9,1.0,0,0
legal-005,legal,1,,NONE,9,1.0,0,0
legal-006,legal,1,,SYN,9,1.0,0,0
legal-007,legal,1,,NONE,9,0.667,0,0
legal-008,legal,1,,SYN,9,1.0,0,0
legal-009,legal,1,,SYN,9,1.0,0,0
legal-010,legal,1,,SYN,9,1.0,0,0
legal-011,legal,1,,SYN,9,1.0,0,0
legal-012,legal,1,,SYN,9,1.0,0,0
legal-013,legal,1,,SYN,9,1.0,0,0
legal-014,legal,1,,SYN,9,1.0,0,0
legal-015,legal,1,,SYN,9,1.0,0,0
legal-016,legal,1,,SYN,9,1.0,0,0
legal-017,legal,1,,SYN,9,1.0,0,0
legal-018,legal,1,,SYN,9,0.889,0,0
legal-019,legal,1,,SYN,9,0.778,0,0
legal-020,legal,1,,SYN,9,1.0,0,0
legal-021,legal,1,,SYN,9,1.0,0,0
legal-022,legal,1,,SYN,9,1.0,0,0
legal-023,legal,1,,NONE,9,0.778,0,0
legal-024,legal,1,,SYN,9,1.0,0,0
legal-025,legal,1,,SYN,9,0.889,0,0
legal-026,legal,1,,SYN,9,1.0,0,0
legal-027,legal,1,,SYN,9,1.0,0,0
legal-028,legal,1,,SYN,9,1.0,0,0
legal-029,legal,1,,SYN,9,1.0,0,0
legal-030,legal,1,,SYN,9,1.0,0,0
legal-031,legal,1,,SYN,9,1.0,0,0
legal-032,legal,1,,SYN,9,1.0,0,0
legal-033,legal,1,,NONE,9,0.667,0,0
legal-034,legal,1,,NONE,9,0.889,0,0
legal-035,legal,1,,PAR,9,0.556,0,0
legal-036,legal,1,,SYN,9,0.889,0,0
legal-037,legal,1,,SYN,9,0.667,0,0
legal-038,legal,1,,SYN,9,1.0,0,0
legal-039,legal,1,,SYN,9,1.0,0,0
legal-040,legal,1,,NONE,9,0.444,0,1
legal-041,legal,1,,SYN,9,1.0,0,0
legal-042,legal,1,,NONE,9,0.778,0,0
legal-043,legal,1,,SYN,9,1.0,0,0
legal-044,legal,1,,SYN,9,0.889,0,0
legal-045,legal,1,,SYN,9,1.0,0,0
legal-046,legal,1,,SYN,9,0.889,0,0
